CHJO 500 A1 SA.B500EAST_____1VP.VM,CHJO 500 A1 SA.B500EAST_____1VP.VA,CHJO 500 A1 SA.B500EAST_____1VA.VM,CHJO 500 A1 SA.B500EAST_____1VA.VA,CHJO 500 A1 SA.B500EAST_____1VB.VM,CHJO 500 A1 SA.B500EAST_____1VB.VA,CHJO 500 A1 SA.B500EAST_____1VC.VM,CHJO 500 A1 SA.B500EAST_____1VC.VA,CHJO 500 A1 SA.B500WEST_____1VP.VM,CHJO 500 A1 SA.B500WEST_____1VP.VA,CHJO 500 A1 SA.B500WEST_____1VA.VM,CHJO 500 A1 SA.B500WEST_____1VA.VA,CHJO 500 A1 SA.B500WEST_____1VB.VM,CHJO 500 A1 SA.B500WEST_____1VB.VA,CHJO 500 A1 SA.B500WEST_____1VC.VM,CHJO 500 A1 SA.B500WEST_____1VC.VA,CHJO 500 A1 SA.T500BANK3____1IP.IM,CHJO 500 A1 SA.T500BANK3____1IP.IA,CHJO 500 A1 SA.L500G_COULEE_3IP.IM,CHJO 500 A1 SA.L500G_COULEE_3IP.IA,CHJO 500 A1 SA.L500CHFJO_PH_5IP.IM,CHJO 500 A1 SA.L500CHFJO_PH_5IP.IA,CHJO 500 A1 SA.L500SICKLER__1IP.IM,CHJO 500 A1 SA.L500SICKLER__1IP.IA,CHJO 500 A1 SA.L500CHFJO_PH_6IP.IM,CHJO 500 A1 SA.L500CHFJO_PH_6IP.IA,CHJO 500 A1 SA.L500MONROE___1IP.IM,CHJO 500 A1 SA.L500MONROE___1IP.IA
312690.2188,88.6018901,312133.9063,88.72014117,313499.2813,-31.43900899,312438.625,-151.4765476,312716.0625,88.59678112,312469.3438,88.65553441,313535.5313,-31.41449886,312143.6875,-151.4520682,470.3833618,-61.40652203,137.0911407,-123.8964623,200.7560883,-88.7609857,451.0639954,102.1488532,597.8672485,-86.97513029,888.696167,95.22474888
312683.5,88.37406231,312125.9688,88.49238851,313493.375,-31.66679922,312432.1563,-151.704594,312709.5938,88.36898748,312462.2188,88.42825303,313528.75,-31.64297893,312138.0938,-151.6797731,470.422821,-61.63501918,137.2067413,-124.0909725,200.8146973,-88.9871879,450.9945679,101.9293514,597.8666382,-87.20437876,888.7116699,94.99437343
312672.4375,88.14545588,312111.1875,88.26397332,313485.1875,-31.89504365,312421.9375,-151.9338425,312698.0625,88.14054497,312446.3438,88.20020668,313518.5938,-31.87171172,312129.5625,-151.9083795,470.349884,-61.86379637,137.2355652,-124.2806605,200.8574066,-89.20149192,451.0655212,101.7161333,597.8896484,-87.4344127,888.6903687,94.76571919
312661.6563,87.91642598,312096.7813,88.03533274,313476.5625,-32.1239028,312412.6875,-152.1634598,312685.375,87.91161752,312429.375,87.97137485,313507.0938,-32.10058795,312119.7813,-152.137505,470.2483215,-62.09740933,137.0948181,-124.4507458,200.8596497,-89.41682046,451.2450256,101.498264,597.9314575,-87.66661864,888.6706543,94.5393394
312653.6563,87.68757366,312088.0625,87.80705416,313468.5625,-32.35331861,312405.4063,-152.3923531,312675.3125,87.68273105,312418.7813,87.74252253,313496.9688,-32.32959053,312110.4375,-152.3663437,470.210083,-62.33214244,136.9754028,-124.6288089,200.8683319,-89.63613101,451.4481506,101.2724443,597.9770508,-87.90133126,888.65448,94.31296644
312646.3125,87.4592336,312081.7188,87.57909659,313460.8125,-32.58225972,312397.4063,-152.6204677,312667.6875,87.45430221,312412.4375,87.51389561,313488.7813,-32.558115,312102.125,-152.5944857,470.274353,-62.55805778,136.951355,-124.8288515,200.9221954,-89.86187559,451.6257019,101.0371169,598.0147095,-88.13665177,888.7091675,94.08833518
312638.7813,87.23093453,312074,87.35046967,313455.1563,-32.81043926,312388.3125,-152.8485414,312660.0938,87.22583921,312405.125,87.28494767,313481.5313,-32.78634919,312093.9375,-152.8226823,470.3956299,-62.77857727,136.9240875,-125.0185941,200.9882813,-90.09561832,451.7323303,100.7964689,598.0321045,-88.37198593,888.8252563,93.86395663
312632.875,87.00206855,312065.0313,87.12083871,313451.1875,-33.03880664,312383.4688,-153.0771068,312652.25,86.99681614,312395.4375,87.05589727,313473.8125,-33.0150649,312087.8125,-153.0519581,470.4812317,-63.00859755,136.8533325,-125.1776556,200.9969635,-90.33947657,451.8132629,100.5717625,598.0569458,-88.60584478,888.928894,93.64305465
312629.25,86.77310695,312058.8125,86.89148096,313448.9063,-33.26733452,312380.9063,-153.3060548,312647.75,86.76771793,312389.6875,86.82728401,313468.9063,-33.24380452,312084.7813,-153.2818349,470.493988,-63.24974421,136.8153534,-125.3436292,200.95755,-90.58352606,451.8994446,100.3645209,598.107666,-88.83770238,888.9394531,93.4249189
312625.7188,86.54489667,312055.2813,86.66357121,313445.7813,-33.49545601,312377.125,-153.5345793,312645.6875,86.53959644,312388.125,86.59944939,313466.5313,-33.47152986,312082.625,-153.5105643,470.42099,-63.49722245,136.801712,-125.5156816,200.8931732,-90.81655845,451.9858093,100.1613023,598.1398926,-89.06807783,888.8766479,93.20438575
